away_team,away_goals,home_team,home_goals,date
,,,,1980-01-02
Colorado Rockies,2,Chicago Black Hawks,5,1980-01-02
Los Angeles Kings,4,Detroit Red Wings,2,1980-01-02
Hartford Whalers,3,Edmonton Oilers,3,1980-01-02
Boston Bruins,1,Minnesota North Stars,2,1980-01-02
Montreal Canadiens,3,Pittsburgh Penguins,5,1980-01-02
New York Rangers,3,Quebec Nordiques,3,1980-01-02
New York Islanders,3,Toronto Maple Leafs,1,1980-01-02
Pittsburgh Penguins,4,New York Islanders,3,1980-01-03
Vancouver Canucks,2,St. Louis Blues,6,1980-01-03
Boston Bruins,2,Winnipeg Jets,1,1980-01-04
Philadelphia Flyers,5,New York Rangers,3,1980-01-04
Vancouver Canucks,4,Colorado Rockies,2,1980-01-04
Detroit Red Wings,6,Atlanta Flames,3,1980-01-04
Washington Capitals,6,Hartford Whalers,3,1980-01-04
Los Angeles Kings,3,Edmonton Oilers,3,1980-01-05
Washington Capitals,2,Minnesota North Stars,2,1980-01-05
Chicago Black Hawks,4,Montreal Canadiens,3,1980-01-05
St. Louis Blues,1,New York Islanders,3,1980-01-05
Buffalo Sabres,5,Pittsburgh Penguins,4,1980-01-05
Quebec Nordiques,7,Toronto Maple Leafs,3,1980-01-05
Atlanta Flames,5,New York Rangers,5,1980-01-06
Detroit Red Wings,2,Hartford Whalers,1,1980-01-06
Los Angeles Kings,4,Winnipeg Jets,4,1980-01-06
Philadelphia Flyers,4,Buffalo Sabres,2,1980-01-06
Vancouver Canucks,1,Chicago Black Hawks,3,1980-01-06
Philadelphia Flyers,1,Minnesota North Stars,7,1980-01-07
Edmonton Oilers,3,Montreal Canadiens,4,1980-01-07
Hartford Whalers,2,New York Rangers,5,1980-01-07
Pittsburgh Penguins,5,Toronto Maple Leafs,9,1980-01-07
Winnipeg Jets,0,Atlanta Flames,2,1980-01-08
Boston Bruins,2,Colorado Rockies,2,1980-01-08
Vancouver Canucks,0,New York Islanders,3,1980-01-08
Los Angeles Kings,3,St. Louis Blues,6,1980-01-08
Montreal Canadiens,5,Toronto Maple Leafs,3,1980-01-09
Edmonton Oilers,2,Quebec Nordiques,3,1980-01-09
Vancouver Canucks,2,Pittsburgh Penguins,4,1980-01-09
Hartford Whalers,2,Minnesota North Stars,6,1980-01-09
Los Angeles Kings,6,Chicago Black Hawks,1,1980-01-09
New York Islanders,2,Buffalo Sabres,3,1980-01-09
New York Rangers,0,Detroit Red Wings,4,1980-01-09
St. Louis Blues,7,Boston Bruins,4,1980-01-10
Winnipeg Jets,4,Philadelphia Flyers,5,1980-01-10
Quebec Nordiques,3,Atlanta Flames,4,1980-01-11
Buffalo Sabres,4,Colorado Rockies,3,1980-01-11
New York Rangers,6,Edmonton Oilers,2,1980-01-11
Vancouver Canucks,4,Washington Capitals,7,1980-01-11
Quebec Nordiques,2,St. Louis Blues,8,1980-01-12
New York Rangers,3,Winnipeg Jets,0,1980-01-12
Vancouver Canucks,4,Toronto Maple Leafs,6,1980-01-12
Chicago Black Hawks,3,Pittsburgh Penguins,2,1980-01-12
Atlanta Flames,3,Boston Bruins,5,1980-01-12
Philadelphia Flyers,3,Montreal Canadiens,4,1980-01-12
Los Angeles Kings,6,Minnesota North Stars,5,1980-01-12
Hartford Whalers,6,Detroit Red Wings,4,1980-01-12
Washington Capitals,2,New York Islanders,5,1980-01-12
St. Louis Blues,1,Philadelphia Flyers,1,1980-01-13
Buffalo Sabres,5,Edmonton Oilers,6,1980-01-13
Los Angeles Kings,3,Winnipeg Jets,5,1980-01-13
Colorado Rockies,2,Boston Bruins,6,1980-01-13
Detroit Red Wings,2,Chicago Black Hawks,3,1980-01-13
Atlanta Flames,2,Montreal Canadiens,3,1980-01-14
Colorado Rockies,6,New York Rangers,6,1980-01-14
Winnipeg Jets,2,New York Islanders,5,1980-01-15
Washington Capitals,4,Philadelphia Flyers,7,1980-01-15
Minnesota North Stars,1,St. Louis Blues,2,1980-01-15
