away_team,away_goals,home_team,home_goals,date
Toronto Arenas,9,Montreal Wanderers,10,1917-12-19
Montreal Canadiens,7,Ottawa Senators,4,1917-12-19
Montreal Canadiens,11,Montreal Wanderers,2,1917-12-21
,,,,1917-12-21
Ottawa Senators,4,Toronto Arenas,11,1917-12-21
,,,,1917-12-23
,,,,1917-12-24
,,,,1917-12-25
Ottawa Senators,6,Montreal Wanderers,3,1917-12-26
,,,,1917-12-26
Montreal Canadiens,5,Toronto Arenas,7,1917-12-26
,,,,1917-12-28
Toronto Arenas,2,Montreal Canadiens,9,1917-12-29
,,,,1917-12-29
Montreal Wanderers,2,Ottawa Senators,9,1917-12-29
,,,,1917-12-31
,,,,1918-01-01
Toronto Arenas,6,Ottawa Senators,5,1918-01-02
,,,,1918-01-02
Montreal Wanderers,0,Montreal Canadiens,1,1918-01-02
,,,,1918-01-04
Ottawa Senators,5,Montreal Canadiens,6,1918-01-05
Montreal Wanderers,0,Toronto Arenas,1,1918-01-05
,,,,1918-01-05
,,,,1918-01-07
,,,,1918-01-08
,,,,1918-01-09
Montreal Canadiens,4,Toronto Arenas,6,1918-01-09
,,,,1918-01-11
,,,,1918-01-12
Ottawa Senators,4,Montreal Canadiens,9,1918-01-12
Toronto Arenas,6,Ottawa Senators,9,1918-01-14
,,,,1918-01-14
Ottawa Senators,4,Toronto Arenas,5,1918-01-16
,,,,1918-01-16
,,,,1918-01-18
,,,,1918-01-19
Toronto Arenas,1,Montreal Canadiens,5,1918-01-19
,,,,1918-01-21
Montreal Canadiens,5,Ottawa Senators,3,1918-01-21
,,,,1918-01-23
Ottawa Senators,4,Montreal Canadiens,3,1918-01-23
,,,,1918-01-25
,,,,1918-01-26
Toronto Arenas,3,Ottawa Senators,6,1918-01-26
Montreal Canadiens,1,Toronto Arenas,5,1918-01-28
,,,,1918-01-28
,,,,1918-01-30
Montreal Canadiens,5,Ottawa Senators,2,1918-01-30
,,,,1918-02-01
,,,,1918-02-02
